Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.97557694,0.775298,0.42153803,1.3216834,0.49899235,-0.078397885,-0.19822106,0.73730844,0.4729386,0.24236824,0.002912074,0.7218479,0.7093116,-0.090526775,-0.11413949,0.49679706,0.60285056,-0.49955407,-0.43541682,-0.10536008
0.97557694,0.7256209,0.514374,1.3767797,0.49899235,-0.108905464,-0.063621745,0.78759545,0.4729386,0.19491817,-0.038853556,0.55554605,0.7093116,-0.034471072,-0.055924058,0.44401884,0.60285056,-0.4100651,-0.5197653,-0.09568707
0.75200665,0.16441679,0.05831175,0.91638756,0.3484642,-0.7499626,-0.19632638,0.50793815,0.6291503,-0.13888192,0.25998482,0.3715353,0.5980835,-0.14903358,-0.09180282,0.16487029,0.3420959,-0.5986895,-0.63333863,-0.51179624
0.6320305,0.2763626,0.26121032,0.8887098,0.24753974,-0.30478418,-0.18649328,0.3748426,0.69559085,-0.2223031,0.21312657,0.7151988,0.5369069,-0.29478413,-0.015098373,0.1731112,0.3411399,-0.64579856,-0.46966872,-0.40016043
0.6442968,0.49296626,0.8677163,0.92058575,0.28016087,-0.22716631,0.05878258,0.1766427,0.67628074,-0.085048154,-0.078736566,0.67973256,0.5299456,-0.16250806,0.06448526,0.27228528,0.3394163,-0.47576946,-0.4425442,-0.20806639
0.6442968,0.37735778,0.221782,0.92058575,0.28016087,-0.1702252,0.19243215,0.1766427,0.67628074,0.019956926,-0.15089124,0.67973256,0.5299456,-0.124895155,0.12077794,0.27228528,0.3394163,-0.4950823,-0.3597519,-0.20806639
0.6442968,0.43274763,0.32175204,0.92058575,0.28016087,-0.06302947,-0.08532371,0.1766427,0.67628074,0.12327048,0.22113442,0.67973256,0.5299456,-0.19461997,0.07849361,0.27228528,0.3394163,-0.5363049,-0.3811779,-0.20806639
0.87070626,-0.35556772,0.4200931,0.92058575,0.20956838,-0.011797866,-0.066452295,0.1766427,0.59583896,0.126798,0.13987343,0.67973256,0.6576154,-0.18565477,-0.18629687,0.27228528,0.36112604,-0.59003544,-0.4334489,-0.20806639
0.78783506,-0.008083718,0.7582499,1.1920615,0.45081735,-0.32487687,0.21716599,0.4678831,0.5458674,0.075326264,0.44204715,0.28196013,0.6784549,-0.13359301,-0.09087185,0.22506814,0.37853435,-0.42391405,-0.48569757,0.019843748
1.1410761,0.2957309,0.5406826,0.92603815,0.78872997,-0.22374888,0.114118576,0.44360372,0.6629221,-0.12417824,0.4636371,0.4091937,0.61825573,-0.22587314,-0.078878775,0.2796652,0.5839924,-0.52405965,-0.52650416,0.035920125
1.2063875,0.598452,0.44053558,0.9979463,0.79494935,-0.14996828,0.089105435,0.4979613,0.6970922,-0.079035245,0.21729347,0.6502389,0.47239706,-0.14426862,-0.14654866,0.15655328,0.14215755,-0.5728594,-0.50928617,-0.021277882
1.1780233,0.5021528,0.5428258,1.14753,0.8135794,-0.09631942,0.10464141,0.62567043,0.5189421,-0.098806374,0.07461724,0.6326973,0.39213932,-0.12225249,-0.14595956,0.21411166,0.053005602,-0.41111305,-0.40853006,-0.20981619
1.0676142,-0.101301305,0.64296806,1.2411467,0.5392077,-0.30086377,-0.06485096,0.44606802,0.6558732,-0.07646831,0.0993626,0.7711716,0.41550505,-0.30989423,-0.277291,0.17546487,0.181628,-0.4147756,-0.4312098,-0.033515606
1.2683659,0.22742817,0.4658695,1.1532023,0.69511026,-0.16065025,-0.18801564,0.6649538,0.6159297,0.009442728,9.76E-04,0.80470973,0.4977217,-0.24409518,-0.28633988,0.19482368,-0.11971998,-0.5071884,-0.43297726,-0.11396367
0.9329447,0.54215145,0.4029676,1.3300903,0.821405,-0.16788757,-0.17154491,1.1254685,0.829226,0.072666086,0.0703273,0.61465985,0.4647449,-0.13935898,-0.109328836,0.3172469,0.34200314,-0.5415218,-0.5155467,-0.044258807
0.8734783,0.5299333,0.26498428,1.4611315,0.74485683,-0.25482208,0.15353978,1.0276979,0.73438853,0.14576465,0.17755395,0.70258707,0.62018377,-0.16181196,-0.025766129,0.6009342,0.4090143,-0.38848397,-0.48218107,-0.02773564
0.9309739,0.5008761,0.6623966,1.4848018,0.7458482,0.07781339,0.11462562,0.9857447,0.64934826,0.031568088,0.25290865,0.69634795,0.72259605,-0.052862566,0.09573046,0.6419947,0.32830298,-0.28734967,-0.1083048,-0.02948944
0.9309739,0.55286574,0.5503301,1.4848018,0.7458482,0.25311983,-0.11014129,0.9857447,0.64934826,-0.07844998,0.013097427,0.69634795,0.72259605,-0.09446511,-0.199153,0.6419947,0.32830298,-0.558861,-0.36301562,-0.02948944
0.9309739,-0.14271061,0.115624055,0.7098277,0.7458482,-0.20201188,-0.112482116,0.5497045,0.64934826,-0.02755234,0.043188892,0.47411746,0.72259605,-0.0751776,-0.21058547,0.3751413,0.32830298,-0.44525522,-0.53535295,-0.115319714
1.2359682,-0.16126013,0.19381815,1.1333166,1.0871432,-0.2636658,-0.12125904,0.53132695,0.7166693,0.29373354,0.12482602,0.5946541,0.56697375,0.055511802,-0.010415308,0.3281463,0.4529839,-0.4834376,-0.585916,-0.064246625
1.2359682,0.50503206,0.007947426,1.3451954,1.0871432,-0.08456907,-0.24288611,0.7062313,0.7166693,0.21934947,0.091177516,0.4145005,0.56697375,-0.16955082,0.13719217,0.23390965,0.4529839,-0.39313182,-0.6411258,0.07253512
1.2359682,0.7980032,0.91716474,1.3716977,1.0871432,0.00953749,-0.12663458,0.7759732,0.7166693,-0.5276682,-0.021886967,0.35301718,0.56697375,0.14726171,0.016231311,0.2446975,0.4529839,-0.39633095,-0.50729287,0.09982993
1.2359682,0.96482265,1.0120977,1.3716977,1.0871432,0.33941472,0.21263754,0.7759732,0.7166693,0.29528213,-0.08855142,0.35301718,0.56697375,-0.032935325,-0.047474254,0.2446975,0.4529839,-0.49853805,-0.47134593,0.09982993
1.2359682,0.89887136,0.7212105,1.3716977,1.0871432,0.38773,0.28295073,0.7759732,0.7166693,0.26499954,0.26149672,0.35301718,0.56697375,-0.08345551,-0.054297805,0.2446975,0.4529839,-0.4884266,-0.40320164,0.09982993
1.2359682,0.57175523,0.36160856,1.3716977,1.0871432,-0.013304136,-0.009397174,0.7759732,0.7166693,0.0349191,0.20249802,0.35301718,0.56697375,-0.060739953,-0.10968656,0.2446975,0.4529839,-0.44466522,-0.610579,0.09982993
1.2359682,0.8035498,0.8589584,1.6654222,1.0871432,0.20836945,0.14778312,1.2305436,0.7166693,0.16069895,0.13084517,0.45493647,0.56697375,-0.08482469,-0.047205124,0.39003494,0.4529839,-0.38170424,-0.70901036,-0.06316872
1.2359682,1.0166314,0.9846004,1.6654222,1.0871432,0.45405686,0.36169755,1.2305436,0.7166693,0.25364476,0.3431598,0.45493647,0.56697375,-0.25806043,0.065054,0.39003494,0.4529839,-0.41866794,-0.4846774,-0.06316872
0.94565445,0.70184934,0.62732404,0.96153843,0.47932553,0.2497678,0.13798209,0.2787034,0.22571886,-0.025510024,0.25516418,0.76817167,0.59320706,-0.17639247,0.008977479,0.32124498,0.2539562,-0.54135203,-0.60557866,-0.25624442
0.9629547,0.36405286,-0.11289606,1.2259223,0.33742574,-0.13461824,-0.16224909,0.39767298,0.41805914,0.097864516,0.22339855,0.79951394,0.51384026,-0.060575392,0.028447952,0.38000724,0.286256,-0.5098904,-0.5450506,-0.23087344
0.8765083,0.63002795,0.3406964,1.3348019,0.022327,0.217467,0.08796364,0.63935304,0.42514095,0.29121146,0.17642711,0.68078816,0.4972539,-0.08667019,0.011005689,0.37544915,0.3435764,-0.5157345,-0.5456207,-0.33391413
0.8765083,0.78547484,0.73759514,1.3781433,0.022327,0.38802847,0.36567947,0.6657127,0.42514095,0.16008596,0.15430415,0.6421323,0.4972539,-0.27998823,-0.002010111,0.33123937,0.3435764,-0.41407067,-0.3049905,-0.3846634
0.7003317,0.28404665,-0.004959167,1.0634134,0.32142234,-0.32466924,-0.12514773,0.77380586,0.18557122,-0.2447522,0.011753717,0.43495795,0.43457568,-0.096663296,-0.10092743,0.3533512,0.21992062,-0.4192713,-0.44249016,0.016170515
0.71277434,0.27522814,0.19543481,1.0582628,0.28443766,-0.2689475,-0.12679182,0.7899353,0.17898248,-0.034321684,0.071431294,0.3659721,0.41776073,-0.09237837,-0.10120602,0.24614525,0.24453469,-0.39841336,-0.4447426,0.043558888
